RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s12_t011.01  	rm231p	llama3.2:3b                	   4000	  0.3	110.30	   5.26	  0	  0	  0	  2025-05-12 21:17	KP0	   31	What is this document ab...	  0.28	   55	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231p/s12_t011.01.4.50512.2117_Response.txt
s12_t011.01  	rm231p	llama3.2:3b                	   4000	  0.3	 52.45	   0.85	  7	  7	  8	  2025-05-12 21:20	KP0	   40	What is this document ab...	  0.76	   55	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231p/s12_t011.01.4.50512.2120_Response.txt
s12_t011.01  	rm231p	llama3.2:3b                	   4000	  0.3	 43.72	   0.85	 10	 10	 10	  2025-05-12 21:21	KP0	   33	What is this document ab...	  0.75	   55	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231p/s12_t011.01.4.50512.2121_Response.txt
