RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s12_t011.01  	rm231d	llama3.2:3b                	   4000	  0.3	 99.03	   4.71	  9	  8	  9	  2025-05-12 11:34	KN1	  456	Explain the key differen...	  4.60	   78	GKN1-SIMP	You are a helpful and informativ...	                           	0 Sources, 0 bytes     	                       	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231d/s12_t011.01.4.50512.1134_Response.txt
s12_t011.01  	rm231d	llama3.2:3b                	   4000	  0.3	100.59	   5.53	  9	  8	  9	  2025-05-12 11:35	KN1	  548	Explain the key differen...	  5.45	   78	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231d/s12_t011.01.4.50512.1135_Response.txt
s12_t011.01  	rm231d	llama3.2:3b                	   4000	  0.3	 47.88	   0.76	  8	  7	  9	  2025-05-12 11:38	KP0	   30	What is this document ab...	  0.63	   55	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on rm231d/s12_t011.01.4.50512.1138_Response.txt
s12_t041.01  	rm231d	qwen2:0.5b                 	   4000	  0.3	255.16	   3.50	  9	  8	  9	  2025-05-12 11:46	KN1	  392	Explain the key differen...	  1.54	   61	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t041.01.4.50512.1146_Response.txt
s12_t041.02  	rm231d	qwen2:0.5b                 	   4000	  0.3	256.81	   1.71	  8	  7	  8	  2025-05-12 11:46	KN2	  415	Summarize the major clim...	  1.62	   63	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t041.02.4.50512.1146_Response.txt
s12_t041.03  	rm231d	qwen2:0.5b                 	   4000	  0.3	208.68	   1.69	  8	  8	  9	  2025-05-12 11:46	KN3	  334	What are the primary cha...	  1.60	   62	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t041.03.4.50512.1146_Response.txt
s12_t042.01  	rm231d	qwen2:0.5b                 	   4000	  0.6	202.90	   2.20	  9	  8	 10	  2025-05-12 11:46	KN1	  429	Explain the key differen...	  2.11	   61	GKN2-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t042.01.4.50512.1146_Response.txt
s12_t042.02  	rm231d	qwen2:0.5b                 	   4000	  0.6	225.59	   2.04	  8	  7	  9	  2025-05-12 11:46	KN2	  440	Summarize the major clim...	  1.95	   63	GKN2-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t042.02.4.50512.1146_Response.txt
s12_t042.03  	rm231d	qwen2:0.5b                 	   4000	  0.6	241.14	   2.59	  8	  7	  9	  2025-05-12 11:46	KN3	  604	What are the primary cha...	  2.50	   62	GKN2-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	Apple M1               	  8	macOS v14	Mac mini 	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t046_qwen2;0.5b_2,3-tests on rm231d/s12_t042.03.4.50512.1146_Response.txt
