RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	   Duration	 N1	 N2	 N3	Tot	       Date Time   	UPC	Model User Prompt	Eval Duration	Eval Tokens	PromptTokens	SysPmtCd	Model System Prompt    	Web Search Prompt          	Web Search URL         	Doc-File Name          	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s11_t011.01  	cn0g0p	qwen2:0.5b                 	   4000	  0.3	280.23	   3.05	  9	  9	 10	 55	  2025-05-31 17:24	AA0	  243	all-usr: What is so spec...	  0.87	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	cn0g0p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.05.May_s11-log-files/s11_t011_llama3.2;3b_1,1-test on cn0g0p/s11_t011.01.4.50531.1724_Response.txt
s11_t011.02  	cn0g0p	qwen2:1.5b                 	   4000	  0.3	   NaN	    NaN	  9	  8	  9	 52	  2025-05-31 17:40	MOD	  NaN	s11-usr: Summarize the k...	   NaN	  NaN	GKN0-MODP	s11-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	cn0g0p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.05.May_s11-log-files/s11_t011_llama3.2;3b_1,1-test on cn0g0p/s11_t011.02.4.50531.1740_Response.txt
s11_t011.01  	cn0g0p	qwen2:0.5b                 	   4000	  0.3	259.65	   2.63	  0	  0	  0	  0	  2025-05-31 18:55	AA0	  211	all-usr: What is so spec...	  0.81	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	cn0g0p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.05.May_s11-log-files/s11_t011_llama3.2;3b_1,1-test on cn0g0p/s11_t011.01.4.50531.1855_Response.txt
s11_t011.01  	cn0g0p	qwen2:0.5b                 	   4000	  0.3	263.84	   2.79	 10	 10	 10	 60	  2025-05-31 18:56	AA0	  177	all-usr: What is so spec...	  0.67	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	cn0g0p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.05.May_s11-log-files/s11_t011_llama3.2;3b_1,1-test on cn0g0p/s11_t011.01.4.50531.1856_Response.txt
s11_t011.01  	cn0g0p	qwen2:0.5b                 	   4000	  0.3	269.60	   3.65	 10	  8	  9	 55	  2025-05-31 18:56	AA0	  490	all-usr: What is so spec...	  1.82	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	cn0g0p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.05.May_s11-log-files/s11_t011_llama3.2;3b_1,1-test on cn0g0p/s11_t011.01.4.50531.1856_Response.txt
