RespId,Model,Context,Temperature,Duration,"Eval Tokens",Query,"Eval Duration","Prompt Eval Tokens","Tokens Per Second","Web Search",Docs,URL,CPU_GPU,RAM,OS,Computer,Server,"Response File"
"a12_t006.01","qwen2:0.5b","8000","0.07","36.94","717","What are the city's restaurants?","26.74","6920","26.82","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.01.4.50403.1427_Response.txt"
"a12_t006.01","qwen2:0.5b","8000","0.07","26.29","444","What are the city's restaurants?","16.39","6918","27.10","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.01.4.50403.1439_Response.txt"
"a12_t006.02","qwen2:0.5b","8000","0.07","4.31","104","What are the city's restaurants?","3.79","6920","27.48","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.02.4.50403.1439_Response.txt"
"a12_t006.05","qwen2:0.5b","8000","0.07","53.09","1363","What are the city's restaurants?","52.39","6918","26.02","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.05.4.50403.1522_Response.txt"
"a12_t006.06","qwen2:0.5b","8000","0.07","91.97","2108","What are the city's restaurants?","82.14","6918","25.66","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.06.4.50403.1530_Response.txt"
"a12_t006.07","qwen2:0.5b","8000","0.07","17.83","243","What are the city's restaurants?","8.87","6922","27.38","Lexington Va","5 Sources, 20817 bytes","https://en.wikipedia.org/wiki/Lexington%2C_Virginia","Apple M1","8","Sonoma v15.2","Apple Mac Mini (2022)","rm231d-os15_Robins-Mac-mini (10.0.0.37)","file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.07.4.50403.1530_Response.txt"
